address,price
"9022 170th Ave NE Unit 9022.1344285 Redmond, WA 98052","$6,250"
"16450 Redmond Way Unit 420.1345314 Redmond, WA 98052","$3,600"
"16450 Redmond Way Unit 620.1345317 Redmond, WA 98052","$3,600"
"16450 Redmond Way Unit 220.1345311 Redmond, WA 98052","$3,600"
"8280 164th Ave NE Unit 213.1345303 Redmond, WA 98052","$3,800"
"8280 164th Ave NE Unit 427.1345306 Redmond, WA 98052","$4,085"
"2690 152nd Ave NE Unit FL4-ID1063A Redmond, WA 98052","$3,060"
"3834 175th Ave NE Redmond, WA 98052","$1,950 /mo"
"15566 NE 22nd Pl Unit FL6-ID425 Bellevue, WA 98007","$4,070"
"15566 NE 22nd Pl Unit FL7-ID424 Bellevue, WA 98007","$3,210"
"14710 NE 40th St Unit 0901.788964 Bellevue, WA 98007","$3,217"
"9940 137th Pl NE Unit 1.1332907 Kirkland, WA 98033","$4,074"
"13831 NE 8th St Unit 63.1008727 Bellevue, WA 98005","$2,655"
"13831 NE 8th St Unit 25.996840 Bellevue, WA 98005","$2,940"
"14527 NE 40th St Unit G101 Bellevue, WA 98007","$2,199"
"16318 NE 104th St Redmond, WA 98052","$3,900 /mo"
"4119 145th Ave NE Unit Regency Park Bellevue, WA 98007","$2,425"
"5115 159th Ave NE Redmond, WA 98052","$3,200 /mo"
"13801 Old Redmond Rd Redmond, WA 98052","$2,395 /mo"
"17810 NE 100th Ct Redmond, WA 98052","$3,700 /mo"
"8636 233rd Pl NE Redmond, WA 98053","$3,950 /mo"
"8545 166th Ave NE Redmond, WA 98052","$2,600 /mo"
"10108 186th Ct NE Redmond, WA 98052","$5,550 /mo"
"11656 173rd Pl NE Redmond, WA 98052","$4,695 /mo"
"18139 NE 99th Way Redmond, WA 98052","$4,800 /mo"
"6421 139th Pl NE Redmond, WA 98052","$3,100 /mo"
"11908 162nd Ct NE Redmond, WA 98052","$6,300 /mo"
"15945 NE 117th St Redmond, WA 98052","$5,500 /mo"
"10253 238th Pl NE Redmond, WA 98053","$5,500 /mo"
"9779 184th Ct NE  Redmond, WA 98052","$3,575"
"2219 167th Pl NE Bellevue, WA 98008","$3,495 /mo"
"12206 NE 106th St Kirkland, WA 98033","$2,800 /mo"
"13758 NE 100th Ct Kirkland, WA 98033","$3,645 /mo"
"12450 NE 130th Ct Kirkland, WA 98034","$1,895 /mo"
"14506 NE 5th St Bellevue, WA 98007","$3,350 /mo"
"14665 NE 34th St Bellevue, WA 98007","$1,750 /mo"
"1890 178th Ave NE Bellevue, WA 98008","$4,500 /mo"
"3408 142nd Pl NE Bellevue, WA 98007","$4,700 /mo"
"9619 Slater Ave NE Kirkland, WA 98033","$4,895 /mo"
"1850 174th Pl NE Bellevue, WA 98008","$4,900 /mo"
"3015 164th Ave NE Bellevue, WA 98008","$3,950 /mo"
"13601 NE 129th St Kirkland, WA 98034","$5,800 /mo"
"14636 NE 45th St Bellevue, WA 98007","$2,100 /mo"
"1525 139th Ct NE Bellevue, WA 98005","$3,999 /mo"
"1446 157th Ct NE  Bellevue, WA 98008","$3,950"
"16616 NE 9th St Bellevue, WA 98008","$3,750 /mo"
