address,price
"9941-9867 W Campville St, Boise, ID 83709","$2,200"
"450 W Grove St, Boise, ID 83702","$1,325 - 1,605"
"1411-1425 N Liberty St, Boise, ID 83704","$1,250 - 2,300"
"1689 W Shoreline Dr, Boise, ID 83702","$1,325 - 1,950"
"1357 N Lilly Ave, Boise, ID 83713","$1,400 - 1,650"
"951 E Front St, Boise, ID 83712","$1,275 - 2,145"
"1001 Leadville Ave, Boise, ID 83706","$1,095 - 1,350"
"280 N 8th St, Boise, ID 83702","$1,193 - 2,469"
"1011 N Allumbaugh St, Boise, ID 83704","$1,100"
"455 Avenue H, Boise, ID 83712","$1,190 - 1,600"
"244-324 N Allumbaugh St, Boise, ID 83704","$875 - 1,350"
"2975 N Records Ave, Meridian, ID 83646","$1,540 - 2,600"
"508 E 50th St, Garden City, ID 83714",$737 - 947
"4509 W Irving St, Boise, ID 83706","$2,490 /mo"
"323 W Jefferson St, Boise, ID 83702","$2,000"
"10380 W Breckfield St, Boise, ID 83709","$2,200 /mo"
"2107 S Myers Pl, Boise, ID 83706","$2,600 /mo"
"9403 W Ustick Rd, Boise, ID 83704","$2,195 /mo"
"3382 E Exacta Ln, Boise, ID 83716","$3,100"
"3201 W Cherry Ln, Boise, ID 83705","$2,150"
"1315 N 14th St, Boise, ID 83702","$1,475"
"1947 S Teal Ln, Boise, ID 83706","$2,350"
"1412 N 13th St, Boise, ID 83702","$5,000 /mo"
"8978 Austin St, Boise, ID 83714",$825 /mo
"5729 S Moonfire Way, Boise, ID 83709","$2,000 /mo"
"226 W Village Ln, Boise, ID 83702","$1,800"
"2182 S Myers Plz, Boise, ID 83706","$2,350 /mo"
"1101 N 19th St, Boise, ID 83702","$3,900 /mo"
"1404 S Broadway Ave, Boise, ID 83706","$1,600"
"1623 W Dora St, Boise, ID 83702","$2,000"
"1827 W Dorian St, Boise, ID 83705","$2,000"
"4440 N Lusitano Ave, Boise, ID 83713","$3,800 /mo"
"9667 W Silverspring St Boise, ID 83709","$1,995 /mo"
"7326 S Cape View Way Boise, ID 83709","$1,895 /mo"
"8275 W Galactic Ct Boise, ID 83709","$1,995 /mo"
