address,price
"321 W 104th St, New York, NY 10025","$6,300"
"1521 York Ave, New York, NY 10028","$6,300 - 9,050"
"357 W 53rd St, New York, NY 10019","$2,595 - 3,873"
"505 W 144th St, New York, NY 10031","$3,595"
"522 W 143rd St, New York, NY 10031","$4,200"
"23 Prince St, New York, NY 10012","$4,495"
"167 E 111th St, New York, NY 10029","$1,850"
"2026 2nd Ave, New York, NY 10029","$3,650"
"2028 2nd Ave, New York, NY 10029","$2,350"
"1978 2nd Ave, New York, NY 10029","$1,800"
"300 E 40th St, New York, NY 10016","$3,650"
"333 E 75th St, New York, NY 10021","$2,500"
"123 4th Ave, New York, NY 10003","$5,600"
"123 4th Ave, New York, NY 10003","$4,050"
"202 W 88th St, New York, NY 10024","$8,600 - 9,500"
"41 W 68th St, New York, NY 10023","$13,500"
"208 W 11th St, New York, NY 10014","$4,400 - 5,800"
"56 W 75th St, New York, NY 10023","$6,300"
"147 Avenue A, New York, NY 10009","$11,495"
"975 Amsterdam Ave, New York, NY 10025","$5,800"
"232 W 14th St, New York, NY 10011","$7,495"
"134 Orchard St, New York, NY 10002","$5,250"
"876 Avenue of the Americas, New York, NY 10001","$10,250"
"341 W 48th St, New York, NY 10036","$8,495"
"123 E 92nd St, New York, NY 10128","$6,000"
"212 E 63rd St, New York, NY 10065","$4,600 - 4,950"
"20 W 64th St, New York, NY 10023","$4,700"
"163 Attorney St, New York, NY 10002","$4,195"
"343 E 51st St, New York, NY 10022","$3,300"
"525 W 151st St, New York, NY 10031","$2,550"
"420 E 120th St, New York, NY 10035","$3,995"
"405 E 61st St, New York, NY 10065","$3,300"
"239 E 116th St, New York, NY 10029","$2,195"
"30 E 7th St, New York, NY 10003","$3,000"
"111 E 89th St, New York, NY 10128","$4,000"
"440 E 79th St, New York, NY 10075","$3,000 - 8,800"
"519 E 5th St, New York, NY 10009","$2,300"
"319 W 13th St, New York, NY 10014","$6,100"
"79 W 12th St, New York, NY 10011","$5,000"
"160 2nd Ave, New York, NY 10003","$4,800"
"421 E 9th St, New York, NY 10009","$3,800 - 7,400"
"62 W 106th St, New York, NY 10025","$5,000"
"439 W 53rd St, New York, NY 10019","$5,400"
"1763 2nd Ave, New York, NY 10128","$2,400 - 5,900"
"301 E 110th St, New York, NY 10029","$2,095"
"58 W 58th St, New York, NY 10019","$3,400"
"180 E 101st St, New York, NY 10029","$2,195"
"63 Wall St, New York, NY 10005","$5,520"
"230 W 55th St, New York, NY 10019","$5,290"
"150 E 57th St, New York, NY 10022","$9,000"
"150 E 57th St, New York, NY 10022","$9,000"
"360 W 34th St., New York, NY 10001","$6,000"
"550 W 54th St, New York, NY 10019","$6,840"
"360 W 34th St, New York, NY 10001","$6,000"
"360 W 34th St, New York, NY 10001","$9,000"
"300 E 51st St, New York, NY 10022","$9,000"
"550 W 54th St, New York, NY 10019","$6,560"
"300 E 51st St, New York, NY 10022","$9,000"
"180 Water St, New York, NY 10038","$7,090"
"20 Broad St, New York, NY 10005","$6,830"
"400 Chambers St, New York, NY 10282","$10,580"
"63 Wall St, New York, NY 10005","$4,800"
"915 West End Ave, New York, NY 10025","$9,000"
"66 Madison Ave, New York, NY 10016","$4,800"
"150 West 51st Street, New York, NY 10019","$4,100"
"130 Water St, New York, NY 10005","$5,975"
"64 W 82nd St, New York, NY 10024","$2,900 - 4,200"
"2272 2nd Ave, New York, NY 10035","$1,895"
"329 E 116th St, New York, NY 10029","$2,395"
"108 Thayer St, New York, NY 10040","$2,100 - 2,950"
"95 Seaman Ave, New York, NY 10034","$2,200"
"100 Arden St, New York, NY 10040","$1,995"
"216 E 111th St, New York, NY 10029","$2,695"
"160 E 102nd St, New York, NY 10029","$2,300"
"2100 2nd Ave, New York, NY 10029","$2,462 - 3,287"
"171 E 105th St, New York, NY 10029","$3,395"
"124 E 116th St, New York, NY 10029","$2,395"
"438 E 14th St, New York, NY 10009","$4,300 - 7,495"
"235 E 110th St, New York, NY 10029","$4,200"
"229 W 71st St, New York, NY 10023","$3,700"
"18 Waverly Plz, New York, NY 10003","$4,500"
"120 riverside Blvd, New York, NY 10069","$8,600"
