address,price
"411 E Indian School Rd, Phoenix, AZ 85012","$1,315 - 2,410"
"411 S 3rd St, Phoenix, AZ 85004","$1,624 - 4,219"
"917 W Glendale Ave, Phoenix, AZ 85021","$2,650 - 3,100"
"8809 S Pointe Pky E, Phoenix, AZ 85044","$1,453 - 4,106"
"111 N Dupont Cir, Phoenix, AZ 85034","$1,460 - 1,735"
"4700 N 16th St, Phoenix, AZ 85016","$1,600 - 3,234"
"6025 W Thomas Rd, Phoenix, AZ 85035","$1,260 - 3,274"
"17017 N 12th St, Phoenix, AZ 85022","$1,400 - 2,200"
"13021 S 48th St, Phoenix, AZ 85044","$1,311 - 2,160"
"1121 N 44th St, Phoenix, AZ 85008","$1,385 - 3,170"
"5102 E Piedmont Rd, Phoenix, AZ 85044","$1,646 - 2,197"
"5550 E Deer Valley Dr, Phoenix, AZ 85054","$1,855 - 4,810"
"4626 N 16th St, Phoenix, AZ 85016","$1,599 - 4,318"
"3625 E Ray Rd, Phoenix, AZ 85044","$1,549 - 5,337"
"6751 W Indian School Rd, Phoenix, AZ 85033","$1,225 - 2,605"
"815 N 52nd St, Phoenix, AZ 85008","$1,270 - 1,920"
"20245 N 32nd Dr, Phoenix, AZ 85027","$1,379 - 4,329"
"601 W Fillmore St, Phoenix, AZ 85003","$1,551 - 3,073"
"1505 N Central Ave, Phoenix, AZ 85004","$1,524 - 2,196"
"320 E Portland St, Phoenix, AZ 85004","$1,799 - 2,565"
"400 N 2nd Ave, Phoenix, AZ 85003","$1,614 - 3,025"
"280 W McKinley St, Phoenix, AZ 85003","$1,450 - 2,930"
"13421 N 43rd Ave, Phoenix, AZ 85029","$1,415 - 2,173"
"402 W Lincoln St, Phoenix, AZ 85003","$1,610 - 4,070"
"10002 N 7th St, Phoenix, AZ 85020","$1,365 - 1,695"
"302 E Monte Vista, Phoenix, AZ 85004","$1,595"
"333 E McKinley St, Phoenix, AZ 85004","$1,275 - 1,875"
"1920 E Indian School Rd, Phoenix, AZ 85016","$1,560 - 3,255"
"17602 N Cave Creek Rd, Phoenix, AZ 85032","$1,050 - 1,590"
"5300 E Washington St, Phoenix, AZ 85034","$1,125 - 1,926"
"888 N 1st Ave, Phoenix, AZ 85003","$1,507 - 3,137"
"220 W Bell Rd, Phoenix, AZ 85023","$1,150 - 2,070"
"2242-2302 E Pinchot Ave, Phoenix, AZ 85016","$1,300 - 2,200"
"800 N Central Ave, Phoenix, AZ 85003","$1,434 - 4,487"
"110 E Greenway Pky, Phoenix, AZ 85022","$1,285 - 3,200"
"1737 W Missouri Ave, Phoenix, AZ 85015","$1,250 - 2,050"
"6315 N 16th St, Phoenix, AZ 85016","$1,595 - 1,745"
"11 S Central Ave, Phoenix, AZ 85004","$1,688 - 5,754"
"3620 E McDowell Rd, Phoenix, AZ 85008","$1,325 - 1,375"
"3802 N 27th St, Phoenix, AZ 85016","$1,209 - 1,759"
"222 W Clarendon Ave, Phoenix, AZ 85013","$1,195 - 1,750"
"15620 N 25th Ave, Phoenix, AZ 85023","$1,175 - 1,550"
"12211 N Paradise Village Pky S, Phoenix, AZ 85032","$1,295 - 2,175"
"3777 E McDowell Rd, Phoenix, AZ 85008","$1,400 - 3,090"
"15417 N 29th St, Phoenix, AZ 85032","$1,300 - 1,570"
"20003 N 23rd Ave, Phoenix, AZ 85027","$1,192 - 3,473"
"5115 N 40th St, Phoenix, AZ 85018","$1,115 - 2,600"
"15434 N 32nd St, Phoenix, AZ 85032","$1,175 - 2,015"
"11 S 12th St, Phoenix, AZ 85034","$1,310 - 2,415"
"17216 N 33rd Ave, Phoenix, AZ 85053","$1,246 - 2,339"
"1517 E Colter, Phoenix, AZ 85014","$1,289 - 1,419"
"2529 W Cactus Rd, Phoenix, AZ 85029","$1,205 - 2,255"
"8245 N 27th Ave, Phoenix, AZ 85051","$1,085 - 1,900"
"2545 N 83rd Ave, Phoenix, AZ 85035","$1,340 - 1,995"
"15202 N 40th St, Phoenix, AZ 85032","$1,425 - 1,550"
"17625 N 7th St, Phoenix, AZ 85022","$1,280 - 2,190"
