address,price
"315 W 57th St, New York, NY 10019","$4,250 - 10,000"
"555 W 38th St, New York, NY 10018","$4,029 - 7,984"
"100 W 31st St, New York, NY 10001","$4,586 - 8,324"
"625 W 57th St, New York, NY 10019","$3,995 - 11,500"
"70 W 45th St, New York, NY 10036","$4,295 - 8,553"
"600 W 58th St, New York, NY 10019","$4,652 - 4,653"
"601 W 57th St, New York, NY 10019","$3,850 - 4,450"
"158 E 126th St, New York, NY 10035","$3,000 - 5,500"
"95 Wall St, New York, NY 10005","$3,497 - 7,208"
"10 Hanover Sq, New York, NY 10005","$3,626 - 7,789"
"401 E 34th St, New York, NY 10016","$3,568 - 8,777"
"305-315 E 86th St, New York, NY 10028","$4,000 - 17,750"
"New York, NY 10034","$3,200 - 3,500"
"15 W 55th St, New York, NY 10019","$4,885 - 7,607"
"110 Wall St, New York, NY 10005","$4,272 - 8,239"
"1295 5th Ave, New York, NY 10029","$1,283 - 1,632"
"510 West End Ave, New York, NY 10024","$4,950"
"New York, NY 10025","$4,600"
"160 E 48th St, New York, NY 10017","$4,029 - 8,892"
"546 W 44th St, New York, NY 10036","$3,925 - 6,780"
"525 W 28th St, New York, NY 10001","$4,093 - 5,420"
"784-792 Columbus Ave, New York, NY 10025","$4,487"
"10-40 River Rd, New York, NY 10044","$3,700 - 4,750"
"250 W 50th St, New York, NY 10019","$3,772 - 6,763"
"345-395 South End Ave, New York, NY 10280","$3,525 - 10,030"
"150 E 34th St, New York, NY 10016","$3,640 - 4,905"
"400 W 42nd St, New York, NY 10036","$4,500 - 9,000"
"520 W 43rd St, New York, NY 10036","$3,785 - 6,119"
"755 Amsterdam Ave, New York, NY 10025",Call for Rent
"2225-2265 5th Ave, New York, NY 10037","$2,275"
"20 W 64th St, New York, NY 10023","$6,000"
"155 E 31st St, New York, NY 10016","$4,985 - 6,490"
"225 E 95th St, New York, NY 10128","$3,440 - 5,965"
"517 W 113th St, New York, NY 10025","$2,400 - 7,000"
"145 W 58th St, New York, NY 10019","$6,450"
"335 E 27th St, New York, NY 10016","$1,440 - 6,695"
"569 Lexington Ave, New York, NY 10022","$1,950 - 3,300"
"1875 Lexington Ave, New York, NY 10035","$2,800 - 5,500"
"12 W 44TH St, New York, NY 10036","$1,800 - 3,200"
"267 W 139th St, New York, NY 10030","$1,203 - 1,976"
"New York, NY 10011","$12,500"
"New York, NY 10036","$5,995"
"New York, NY 10036","$4,150"
"New York, NY 10019","$4,495"
"New York, NY 10036","$3,995"
"New York, NY 10036","$7,895"
"New York, NY 10019","$7,495"
"152 Ludlow St, New York, NY 10002","$5,400"
"118 W 109th St, New York, NY 10025","$1,875"
"174 W 137th St, New York, NY 10030","$1,750"
"309 E 92nd St, New York, NY 10128","$5,900"
"438 St Nicholas Ave, New York, NY 10027","$2,366"
"620 E 11th St, New York, NY 10009","$2,800"
"164 Attorney St, New York, NY 10002","$3,300"
"200 E 23rd St, New York, NY 10010","$7,000"
"227 Mulberry St, New York, NY 10012","$3,295"
"26 Prince St, New York, NY 10012","$4,150"
"245 E 44th St, New York, NY 10017","$4,250"
"619 E 5th St, New York, NY 10009","$2,695"
"619 E 5th St, New York, NY 10009","$4,295"
"2375 Adam Clayton Powell Jr Blvd, New York, NY 10030","$1,900"
"211 W 53rd St, New York, NY 10019","$3,100"
"2147 2nd Ave, New York, NY 10029","$3,400"
"New York, NY 10005","$4,910"
"New York, NY 10012","$6,810"
"New York, NY 10036","$5,610"
